@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@ATTRIBUTE x53 NUMERIC
@ATTRIBUTE x54 NUMERIC
@ATTRIBUTE x55 NUMERIC
@ATTRIBUTE class {2.00,1.00,0.00}

@DATA
127.000000,7.000000,30.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.864877,21.207679,20.830500,73.084953,15.830501,0.000000,0.000000,2.000000,0.112198,0.662536,15.778516,25.376808,325.222107,328.339294,51747.062500,46800.000000,19.280499,81.476791,16.030499,0.000000,0.000000,1.000000,0.016191,0.414310,11.275530,20.431387,343.300690,345.718872,51747.062500,46800.000000,0.00
107.000000,6.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,350.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.237360,22.085850,25.880999,63.120747,18.330999,0.000000,2.000000,79.000000,0.059928,1.230527,7.412853,9.504273,240.945480,245.376450,52554.933594,47029.000000,23.931000,69.149857,17.931000,0.000000,1.000000,45.000000,0.015666,0.916530,5.588703,6.924738,255.068527,278.972534,52554.933594,47029.000000,0.00
64.000000,4.000000,40.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.284940,21.363630,23.923000,54.431366,14.172999,0.000000,0.000000,2.000000,0.043456,1.353515,7.559999,11.928989,270.000000,275.194336,48765.496094,45500.410156,22.723001,58.332142,14.123000,0.000000,0.000000,0.000000,0.029631,1.151301,6.480000,10.495713,270.000000,275.906036,48765.496094,45500.410156,0.00
109.000000,6.000000,40.000000,0.000000,0.000000,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.475390,22.080110,30.905500,27.120558,9.805500,0.000000,2.000000,78.000000,0.309164,3.256429,9.178235,12.313894,228.179916,232.124954,51208.171875,44786.292969,28.555500,34.540077,11.405500,0.000000,2.000000,73.000000,0.161659,2.555406,9.107359,13.896187,288.435028,286.557159,51208.171875,44786.292969,0.00
54.000000,3.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.300000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.798790,22.377370,30.663000,34.000225,13.013000,0.000000,1.000000,22.000000,0.478840,2.908069,2.880000,3.976330,360.000000,354.805664,52504.257812,47400.195312,30.663000,34.000225,13.013000,0.000000,1.000000,22.000000,0.478840,2.908069,2.880000,3.976330,360.000000,354.805664,52504.257812,47400.195312,0.00
107.000000,6.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.237360,22.085850,31.031000,27.154333,9.931001,0.000000,0.000000,0.000000,0.572944,3.278231,7.636753,9.470120,98.130020,98.746078,53430.574219,48879.464844,30.931000,27.127426,9.831000,0.000000,0.000000,0.000000,0.472948,3.260849,9.531505,11.874544,100.885483,104.036270,53430.574219,48879.464844,0.00
100.000000,6.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.226215,23.218836,20.044001,48.481613,8.844000,0.000000,0.000000,0.000000,0.339462,1.208641,13.049689,18.374111,204.443939,214.624222,43520.277344,39692.617188,19.944000,48.290871,8.694000,0.000000,0.000000,0.000000,0.248345,1.205645,13.849477,19.959721,207.897171,219.143982,43520.277344,39692.617188,0.00
152.000000,9.000000,40.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.618680,23.087840,29.471001,44.215282,16.021000,0.000000,1.000000,39.000000,0.332761,2.295281,8.766573,11.792404,19.179106,12.339083,48999.113281,45792.621094,24.671001,59.173634,16.171000,0.000000,0.000000,6.000000,0.033308,1.267985,6.489992,12.620554,19.440128,3.270422,48999.113281,45792.621094,0.00
36.000000,3.000000,20.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.693930,23.490710,11.397500,70.138519,6.147500,0.000000,1.000000,36.000000,0.004907,0.403103,5.154416,12.313893,167.905258,195.255173,35111.542969,30628.289062,11.997500,64.451149,5.497500,0.000000,0.000000,9.000000,0.000000,0.499260,2.414953,8.654986,153.435013,196.927597,35111.542969,30628.289062,0.00
96.000000,6.000000,40.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,8.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.168180,22.619547,28.089500,32.190468,9.939500,0.000000,0.000000,0.000000,0.091424,2.576681,8.209263,20.898611,254.744827,259.077240,48131.207031,44939.250000,29.339500,40.379715,14.489500,0.000000,0.000000,0.000000,0.528559,2.434843,1.138420,1.297998,288.435028,303.690094,47699.593750,44523.480469,1.00
