@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@ATTRIBUTE x53 NUMERIC
@ATTRIBUTE x54 NUMERIC
@ATTRIBUTE class {2.00,1.00,0.00}

@DATA
224.000000,12.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.315040,24.487340,20.727499,47.216476,9.077499,0.000000,0.000000,0.000000,0.016682,1.291596,3.617955,6.489992,185.710495,266.820221,50837.300781,42914.144531,20.727499,47.216476,9.077499,0.000000,0.000000,0.000000,0.016682,1.291596,3.617955,6.489992,185.710495,266.820221,50837.300781,42914.144531,0.00
135.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.865630,21.254930,28.036499,41.477184,13.736501,0.000000,1.000000,27.000000,0.396514,2.216497,13.246826,17.577440,317.202606,325.007904,52243.589844,46800.000000,26.886499,49.669491,15.486501,0.000000,1.000000,23.000000,0.263952,1.782169,12.768586,17.826363,310.425995,316.636536,52243.589844,46800.000000,0.00
143.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.102360,22.135750,17.705000,70.650711,12.305000,0.400000,51.000000,63.000000,0.216967,0.594993,11.440979,17.414474,294.145538,299.744781,51766.218750,46742.410156,15.855000,87.344894,13.754999,0.200000,51.000000,43.000000,0.053243,0.228149,6.489992,11.269782,273.179779,296.564972,51766.218750,46742.410156,0.00
143.000000,8.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,8.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.054620,21.893200,20.630501,68.945976,14.730500,0.000000,2.000000,65.000000,0.097641,0.755135,3.545589,4.379589,156.037506,189.462250,40713.851562,36280.664062,20.630501,68.945976,14.730500,0.000000,2.000000,65.000000,0.097641,0.755135,3.545589,4.379589,156.037506,189.462250,40713.851562,36280.664062,0.00
137.000000,8.000000,0.000000,0.000000,0.000000,70.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.533860,22.345310,7.915000,94.687584,7.115000,0.000000,0.000000,3.000000,0.000000,0.056777,8.161764,14.200620,41.423569,59.534538,37632.445312,34320.675781,7.265000,95.642166,6.615000,0.000000,0.000000,1.000000,0.000000,0.044556,8.089993,13.979872,32.275623,55.491425,37632.445312,34320.675781,0.00
33.000000,2.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.925040,25.978130,25.712000,61.710747,17.812000,0.100000,51.000000,83.000000,0.339500,1.264918,4.553679,6.214563,341.564941,349.992065,52549.609375,36000.000000,25.712000,61.710747,17.812000,0.100000,51.000000,83.000000,0.339500,1.264918,4.553679,6.214563,341.564941,349.992065,52549.609375,36000.000000,0.00
26.000000,2.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.032350,24.637600,15.982500,28.761948,-2.167500,0.000000,0.000000,0.000000,0.439050,1.295349,15.281989,21.479664,46.909142,39.559639,43191.941406,39222.753906,16.482500,27.654978,-2.267500,0.000000,0.000000,0.000000,0.382587,1.358029,18.171976,25.812277,56.309898,50.092171,43191.941406,39222.753906,0.00
26.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.032350,24.637600,20.832500,68.985672,14.932500,0.000000,1.000000,46.000000,0.166995,0.763583,6.924738,10.685391,242.102829,237.380768,52336.414062,43200.000000,17.232500,82.805260,14.282500,0.000000,3.000000,83.000000,0.000000,0.338316,5.116561,8.373386,309.289368,244.536697,52336.414062,43200.000000,0.00
247.000000,2.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.925040,25.978130,28.462000,36.746040,12.262000,0.000000,0.000000,0.000000,0.160142,2.455832,15.307410,27.841293,48.814175,49.720215,47044.070312,42938.292969,28.462000,36.746040,12.262000,0.000000,0.000000,0.000000,0.160142,2.455832,15.307410,27.841293,48.814175,49.720215,47044.070312,42938.292969,0.00
114.000000,6.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.000000,22.000000,23.524000,43.291668,10.323999,0.000000,0.000000,16.000000,0.281598,1.644841,13.363711,19.483284,242.744751,242.488083,53572.324219,47323.332031,23.524000,43.291668,10.323999,0.000000,0.000000,16.000000,0.281598,1.644841,13.363711,19.483284,242.744751,242.488083,53572.324219,47323.332031,0.00
