10
5121
0.0833333 0.903226 36.77 141.3 46 10573 2.01556  5.8 14.6301 0.819309 0
0.0833333 0.903226 43.16 145.77 47 10606 2.01939  5.8 14.6296 0.81013 0
0.0833333 0.903226 35.54 139.57 123 10563 2.01449  5.8 14.6292 0.820373 1
0.0833333 0.903226 67.862 20.189 0 10593 2.0156  5.8 14.629 0.688972 0
0.0833333 0.903226 38.73 23.51 44 10553 2.01239  5.8 14.6275 0.754108 1
0.0833333 0.903226 38.02 144.59 32 10576 2.01691  5.8 14.6238 0.819586 1
0.0833333 0.903226 54.8 162.52 24 10632 2.02121  5.8 14.6238 0.802547 1
0.0833333 0.903226 44.315 11.434 10 10545 2.01181  5.8 14.6236 0.74031 0
0.0833333 0.903226 38.41 141.17 11 10578 2.0165  5.8 14.6171 0.815831 0
0.0833333 0.903226 39 139.51 22 10578 2.01652  5.8 14.6149 0.813205 0
0.0833333 0.903226 373.122 -136.392 10 10532 2.02931  5.9 15.6737 0.761594 1
0.0833333 0.870968 25.01 123.41 113 10524 2.01117  5.8 14.611 0.829523 0
0.0833333 0.870968 23.86 123.29 19 10518 2.01126  5.8 14.6104 0.831849 0
0.0833333 0.870968 27.19 126.72 15 10528 2.01174  5.8 14.6067 0.827427 1
0.0833333 0.870968 37.28 142.08 20 10564 2.01624  5.8 14.6051 0.81893 0
0.0833333 0.870968 31.65 133.36 47 10535 2.01247  5.8 14.5993 0.823312 0
0.0833333 0.870968 34.56 140.62 56 10545 2.01386  5.8 14.5989 0.823275 0
0.0833333 0.870968 42.65 145.36 46 10588 2.01909  5.8 14.5985 0.810806 0
0.0833333 0.870968 38.13 27.01 50 10539 2.01213  5.8 14.5954 0.756018 1
0.0833333 0.870968 28.69 129.38 42 10525 2.0121  5.8 14.5943 0.826333 1
0.0833333 0.870968 41.02 142.26 44 10578 2.01779  5.8 14.5926 0.811419 1
0.0833333 0.870968 41.56 139.59 16 10574 2.01734  5.8 14.592 0.808013 0
0.0833333 0.870968 475.319 -0.9155 5 3539 2.47259  5.9 15.6492 0.549898 0
0.0833333 0.870968 30.52 131.26 29 10525 2.01206  5.8 14.5883 0.823991 0
0.0833333 0.83871 37.33 138.33 20 10547 2.01421  5.8 14.5877 0.815645 0
0.0833333 0.83871 35.27 136.67 15 10536 2.01306  5.8 14.5874 0.818512 0
0.0833333 0.83871 36.71 141.35 48 10547 2.01527  5.8 14.5859 0.819475 0
0.0833333 0.83871 41.9 142.53 60 10573 2.01799  5.8 14.5853 0.809852 0
0.0833333 0.83871 31.97 130.46 9 10526 2.01256  5.8 14.5849 0.820345 0
0.0833333 0.83871 46.464 14.379 11.5 10536 2.01274  5.8 14.5846 0.735789 0
0.0833333 0.83871 36.36 141.08 45 10540 2.01496  5.8 14.5815 0.819964 0
0.0833333 0.83871 40.05 142.11 39 10562 2.0174  5.8 14.5799 0.813276 0
0.0833333 0.83871 34.65 139.86 129 10530 2.014  5.8 14.5796 0.822449 0
0.0833333 0.83871 29.17 130.37 24 10512 2.01226  5.8 14.5795 0.826102 1
0.0833333 0.83871 24.41 122.99 49 10499 2.01134  5.8 14.5787 0.830474 0
0.0833333 0.83871 50.78 130.6 4 10580 2.01841  5.8 14.5779 0.781473 1
0.0833333 0.83871 59.289 27.048 0 10555 2.01465  5.8 14.5766 0.709128 0
0.0833333 0.83871 63.222 21.674 0 10557 2.01523  5.8 14.5763 0.699489 0
0.0833333 0.83871 392.545 -73.462 0 10632 2.0303  5.9 15.6368 0.707067 0
0.0833333 0.83871 32.92 129.96 13 10515 2.01276  5.8 14.57 0.817976 0
0.0833333 0.83871 37.26 23.71 18 10509 2.01149  5.8 14.5647 0.757401 1
0.0833333 0.83871 26.65 130.31 46 10495 2.01248  5.8 14.5644 0.831306 0
0.0833333 0.806452 67.185 20.673 0 10554 2.01533  5.8 14.5633 0.690545 0
0.0833333 0.806452 38.14 144.57 31 10540 2.01687  5.8 14.5619 0.819323 1
0.0833333 0.806452 25.12 128.04 69 10481 2.01207  5.8 14.5613 0.832756 1
0.0833333 0.806452 384.874 -65.536 0 10651 2.02959  5.9 15.6219 0.724553 0
0.0833333 0.806452 38.88 141.68 64 10543 2.0168  5.8 14.5598 0.815304 0
0.0833333 0.806452 377.043 713.697 0 956 2.74498  6.3 7.03107 0.316538 1
0.0833333 0.806452 24.14 123.53 17 10484 2.01133  5.8 14.5538 0.831437 0
0.0833333 0.806452 32.08 129.89 10 10505 2.01263  5.8 14.547 0.819669 0
0.0833333 0.806452 515.502 159.945 0 1509 2.82306  5.9 15.6058 0.683067 0
0.0833333 0.806452 67.839 20.213 0 10547 2.01548  5.8 14.5406 0.689026 0
0.0833333 0.774194 38.22 26.66 37 10507 2.01223  5.8 14.5393 0.755757 1
0.0833333 0.774194 354.607 741.493 0 858 2.68019  6.3 7.00964 0.238282 1
0.0833333 0.774194 387.301 694.208 9.2 971 2.75736  6.3 7.00799 0.365474 1
0.0833333 0.774194 37.24 140.2 100 10523 2.01507  5.8 14.5344 0.817408 0
0.0833333 0.774194 38.33 140.23 160 10533 2.01615  5.8 14.5343 0.815193 0
