11
612
50 7 1 4 2 7 1 0 0 0 0 11
50 7 2 4 1 4 1 0 0 0 0 11
50 7 3 1 2 7 1 0 0 0 0 11
50 7 3 1 1 2 1 0 0 0 0 11
50 7 3 1 3 9 1 0 0 0 0 11
50 7 12 4 5 13 1 0 0 0 0 9
51 7 3 1 2 6 1 0 0 0 0 11
51 7 5 1 1 2 1 0 0 0 0 11
51 7 10 3 2 7 1 0 0 0 0 11
51 7 12 4 1 4 1 0 0 0 0 11
51 7 12 4 1 5 1 0 0 0 0 11
54 7 1 4 1 4 1 0 0 0 0 11
54 7 1 4 1 4 1 0 0 0 0 11
54 7 4 1 2 7 1 0 0 0 0 11
54 7 12 4 2 7 1 0 0 0 0 11
55 7 1 4 1 3 1 0 0 0 0 11
55 7 2 4 4 10 1 0 0 0 0 9
55 7 2 4 1 3 1 0 0 0 0 11
55 7 2 4 1 3 1 0 0 0 0 11
55 7 3 1 3 6 1 0 0 0 0 9
55 7 4 1 3 6 1 0 0 0 0 11
55 7 7 2 2 2 1 0 0 0 0 11
55 7 10 3 2 4 1 0 0 0 0 11
55 7 12 4 2 6 1 0 0 0 0 11
55 7 12 4 2 5 1 0 0 0 0 11
55 7 12 4 1 2 1 0 0 0 0 11
55 7 12 4 2 4 1 0 0 0 0 9
55 7 12 4 2 4 1 0 0 0 0 11
55 7 12 4 2 4 1 0 0 0 0 11
55 7 12 4 2 4 1 0 0 0 0 11
55 7 12 4 2 5 1 0 0 0 0 11
55 7 12 4 2 5 1 0 0 0 0 11
56 8 2 4 1 3 1 0 0 0 0 11
56 8 3 1 1 2 1 0 0 0 0 11
56 8 4 1 1 4 1 0 0 0 0 11
56 8 6 2 2 4 1 0 0 0 0 9
56 8 7 2 1 4 1 0 0 0 0 11
56 8 12 4 2 5 1 0 0 0 0 11
58 8 1 4 1 2 1 0 0 0 0 11
58 8 2 4 1 2 1 0 0 0 0 11
58 8 3 1 2 5 1 0 0 0 0 11
58 8 11 3 8 15 1 0 0 0 0 9
60 8 1 4 1 2 1 0 0 0 0 11
60 8 2 4 1 2 1 0 0 0 0 11
60 8 5 1 2 4 1 0 0 0 0 11
62 9 8 2 2 4 1 0 0 0 0 9
65 9 2 4 2 6 1 0 0 0 0 11
65 9 6 2 2 7 1 0 0 0 0 11
65 9 7 2 2 5 1 0 0 0 0 11
65 9 8 2 4 8 1 0 0 0 0 9
65 9 8 2 3 7 1 0 0 0 0 9
