@Relation urban_new_2021_fold4_train

@ATTRIBUTE f1_minas          NUMERIC  % Μήνας (1-12)
@ATTRIBUTE f2_epochi         NUMERIC  % Εποχή (1=Χειμ 2=Άνοιξ 3=Καλοκ 4=Φθιν)
@ATTRIBUTE f3_ora            NUMERIC  % Ώρα ημέρας (0-23)
@ATTRIBUTE f4_mera_nyxta     NUMERIC  % Μέρα=1 Νύχτα=0
@ATTRIBUTE f5_imera_evdom    NUMERIC  % Ημέρα εβδομάδας (0=Δευτ 6=Κυρ)
@ATTRIBUTE f6_savvatokyriako NUMERIC  % Σαββ/κο=1 Καθημ=0
@ATTRIBUTE f7_trimino        NUMERIC  % Τρίμηνο (1-4)
@ATTRIBUTE f8_nomos          NUMERIC  % Κωδικός Νομού
@ATTRIBUTE f9_typos_xorou    NUMERIC  % Κωδικός τύπου χώρου
@ATTRIBUTE class             {8,9,11} % 8=Μεγάλη 9=Μεσαία 11=Μικρή

@DATA
8,3,15,1,4,0,3,5,85,11
8,3,4,0,5,1,3,5,85,11
8,3,15,1,5,1,3,5,94,11
8,3,19,1,2,0,3,5,81,11
8,3,17,1,3,0,3,5,64,11
8,3,7,1,5,1,3,5,101,9
8,3,19,1,6,1,3,5,85,11
8,3,3,0,0,0,3,5,71,11
9,4,4,0,4,0,3,5,85,11
9,4,21,0,5,1,3,5,39,11
9,4,11,1,1,0,3,5,64,11
9,4,9,1,1,0,3,5,85,11
9,4,0,0,4,0,3,5,85,11
9,4,16,1,1,0,3,5,85,11
9,4,8,1,3,0,3,5,64,11
9,4,18,1,5,1,3,5,85,11
9,4,2,0,6,1,3,5,85,11
9,4,23,0,6,1,3,5,85,11
9,4,3,0,3,0,3,5,85,11
9,4,20,1,6,1,3,5,85,11
9,4,15,1,0,0,3,5,114,11
9,4,0,0,1,0,3,5,85,11
10,4,6,0,6,1,4,5,85,11
10,4,15,1,2,0,4,5,31,8
10,4,9,1,2,0,4,5,85,11
10,4,8,1,2,0,4,5,85,11
10,4,7,1,4,0,4,5,19,11
10,4,21,0,4,0,4,5,94,11
10,4,16,1,0,0,4,5,85,11
10,4,0,0,3,0,4,5,85,11
10,4,11,1,4,0,4,5,85,11
10,4,11,1,5,1,4,5,64,11
10,4,12,1,6,1,4,5,85,11
10,4,16,1,2,0,4,5,64,11
10,4,12,1,2,0,4,5,85,11
10,4,4,0,2,0,4,5,85,11
10,4,7,1,3,0,4,5,87,11
10,4,17,1,4,0,4,5,120,11
10,4,5,0,6,1,4,5,99,8
10,4,8,1,6,1,4,5,85,11
10,4,9,1,6,1,4,5,85,11
10,4,3,0,2,0,4,5,85,11
10,4,1,0,2,0,4,5,85,11
10,4,22,0,2,0,4,5,85,11
10,4,20,1,3,0,4,5,47,11
10,4,11,1,4,0,4,5,64,8
10,4,23,0,4,0,4,5,56,11
10,4,1,0,5,1,4,5,64,11
10,4,13,1,5,1,4,5,64,11
10,4,1,0,6,1,4,5,19,11
11,4,16,1,1,0,4,5,19,11
11,4,11,1,3,0,4,5,64,11
11,4,14,1,3,0,4,5,64,11
11,4,18,1,5,1,4,5,85,11
11,4,17,1,5,1,4,5,85,8
11,4,23,0,5,1,4,5,85,11
11,4,17,1,4,0,4,5,85,11
11,4,23,0,5,1,4,5,19,11
11,4,19,1,6,1,4,5,85,11
11,4,16,1,2,0,4,5,76,11
11,4,23,0,2,0,4,5,64,11
11,4,4,0,3,0,4,5,85,11
11,4,11,1,3,0,4,5,47,11
11,4,21,0,3,0,4,5,85,11
11,4,4,0,3,0,4,5,96,11
11,4,19,1,4,0,4,5,73,11
11,4,5,0,5,1,4,5,39,11
11,4,22,0,6,1,4,5,64,11
11,4,11,1,2,0,4,5,64,11
11,4,11,1,3,0,4,5,64,11
11,4,21,0,4,0,4,5,19,9
11,4,0,0,4,0,4,5,19,11
11,4,15,1,4,0,4,5,73,8
11,4,19,1,5,1,4,5,85,11
11,4,4,0,5,1,4,5,85,11
12,1,3,0,2,0,4,5,85,11
12,1,13,1,6,1,4,5,64,11
12,1,21,0,6,1,4,5,64,11
12,1,23,0,0,0,4,5,19,11
12,1,0,0,1,0,4,5,87,11
12,1,21,0,2,0,4,5,85,11
12,1,21,0,3,0,4,5,64,11
12,1,21,0,3,0,4,5,73,11
12,1,15,1,4,0,4,5,8,11
12,1,2,0,6,1,4,5,85,11
12,1,4,0,6,1,4,5,85,11
12,1,12,1,0,0,4,5,64,11
12,1,9,1,0,0,4,5,7,11
12,1,16,1,1,0,4,5,85,11
12,1,11,1,2,0,4,5,64,11
12,1,16,1,3,0,4,5,85,11
12,1,22,0,3,0,4,5,85,11
12,1,7,1,3,0,4,5,85,11
12,1,5,0,4,0,4,5,19,11
12,1,14,1,5,1,4,5,64,11
12,1,13,1,6,1,4,5,64,11
12,1,18,1,0,0,4,5,85,11
12,1,16,1,0,0,4,5,19,11
12,1,3,0,3,0,4,5,85,11
12,1,21,0,4,0,4,5,94,11
12,1,8,1,5,1,4,5,81,11
12,1,23,0,5,1,4,5,85,11
12,1,21,0,5,1,4,5,85,11
12,1,15,1,6,1,4,5,64,11
12,1,9,1,1,0,4,5,64,11
12,1,20,1,4,0,4,5,85,11
1,1,16,1,4,0,1,5,64,11
1,1,10,1,4,0,1,5,64,11
1,1,0,0,4,0,1,5,56,11
